a,lat,lng
Bogotá,4.60971,-74.08175
Cali,3.43722,-76.5225
Cartagena,10.39972,-75.51444
Medellín,6.25184,-75.56359
Barranquilla,10.96854,-74.78132
Bucaramanga,7.12539,-73.1198
Ibagué,4.43889,-75.23222
Pereira,4.81333,-75.69611
Manizales,5.06889,-75.51738
Cucuta,7.89391,-72.50782
Floridablanca,7.06222,-73.08644
Piedecuesta,6.98789,-73.04953
Girón,7.0682,-73.16981
Jamundí,3.26074,-76.53499
Cúcuta,7.89391,-72.50782
Santa Marta,11.24079,-74.19904
Caldas,6.0910602,-75.6356888
Envigado,6.17591,-75.5917435
Itagüí,6.17194,-75.61139
La Estrella,6.15769,-75.6431732
Puerto Colombia,10.9878,-74.9547
Sabaneta,6.15,-75.6
Soledad,10.9184303,-74.7645874
