Departamento,ncb01,ncb02,ncb03,ncb04,abs01,abs02,abs03,vsp01,vsp02,vsp03,vsp04,vsp05,sp01,sp04,abc01,abc02,abc03,abc04,abc05,aic01,aic02,aic03,aic04,sb01,sb03,sb04,sa01,sa02,sa04,dp01,dp02,dp03,dp04,dp05,lpe01,lpe02,lpe04,ti01,ti03,ti02,aes01,aes02,aes03
Antioquia,0.1,0.24,28.79,0.14,-3.25,0.92,0.83,1,0.05,0.91,0.91,-0.01,25.8,14.33,4.9,0.85,0.75,21,28.74,0.95,0.55,0.08,0.74,0.15,208.8,0.17,12.95,0.14,2.46,0.57,0.38,0.48,0.47,0.81,0.84,0.16,0.13,0.85,0.08,0.14,0.53,6.16,0.56
Atlantico,0.16,0.3,53.64,0.11,-44.59,0.95,0.8,0.99,0.05,0.98,0.83,-0.07,23.73,9.67,3.7,0.83,0.76,25.73,35.28,0.95,0.44,0.02,0.56,0.2,198.75,0.08,7.34,0.15,0.02,0.51,0.53,0.44,0.39,0.71,0.73,0.21,0.19,0.91,0.04,0.13,0.58,6.41,0.52
Bolivar,0.11,0.23,54.63,0.12,-12.47,0.82,0.54,0.95,0.17,0.84,0.8,-0.23,19.31,8.87,9.4,0.81,0.77,19.13,27.08,0.9,0.32,0.02,0.56,0.17,165.12,0.1,7.31,0.1,0.58,0.56,0.48,0.54,0.4,0.86,0.76,0.21,0.26,0.95,0.04,0.13,0.37,4.83,0.55
Boyaca,0.17,0.26,25.25,0.13,-13.67,0.91,0.69,0.99,0.22,0.87,0.92,-0.03,7.05,14.34,5.3,0.83,0.81,28.39,39.88,0.95,0.33,0.02,0.63,0.16,196.95,0.1,10,0.07,0.17,0.69,0.35,0.53,0.3,0.76,0.86,0.13,0.2,0.89,0.05,0.05,0.52,5.02,0.54
Caldas,0.14,0.25,29.86,0.15,-4,0.87,0.77,1,0.12,0.82,0.91,-0.01,21.15,12.55,5.4,0.79,0.77,24.86,35.05,0.96,0.44,0.03,0.75,0.16,256.88,0.16,-0.53,0.09,0.14,0.54,0.34,0.44,0.41,0.76,0.83,0.13,0.13,0.87,0.07,0.09,0.51,6.35,0.54
Caqueta,0.12,0.2,119.22,0.17,-8.82,0.63,0.58,0.94,0.2,0.72,0.83,-0.15,27.22,10.26,7,0.84,0.7,14.38,30.96,0.86,0.22,0.02,0.5,0.22,175.52,0.07,18.61,0.18,24.1,0.52,0.39,0.44,0.43,0.77,0.78,0.35,0.31,0.91,0.06,0.33,0.23,2.8,0.56
Cauca,0.23,0.33,103.65,0.16,-6.5,0.87,0.57,0.97,0.29,0.7,0.87,-0.05,27.05,14.5,7.8,0.87,0.71,18.56,32.36,0.87,0.29,0.03,0.43,0.15,169.98,0.14,0.93,0.12,8.5,0.63,0.42,0.65,0.39,0.88,0.84,0.25,0.16,0.88,0.13,0.11,0.31,3.59,0.61
Cesar,0.12,0.24,16.54,0.17,-4.8,0.83,0.69,0.92,0.16,0.86,0.73,-0.36,18.76,26.63,10.6,0.82,0.7,22.29,35.55,0.9,0.28,0.02,0.46,0.16,186.54,0.11,4.52,0.05,0.32,0.5,0.48,0.38,0.35,0.96,0.76,0.2,0.04,0.9,0.04,0.08,0.31,3.31,0.54
Choco,0.16,0.37,181.64,0.18,-4.99,0.37,0.22,0.87,0.25,0.45,0.81,-0.27,28.99,3.8,16.2,0.89,0.64,11.73,19.45,0.68,0.14,0.01,0.61,0.18,161.6,0.16,2.48,0.09,5.65,NA,0.55,0.72,0.38,NA,0.67,0.3,NA,0.91,0.13,NA,0.24,4.12,0.55
Cordoba,0.16,0.38,87.94,0.12,-7.4,0.77,0.41,0.99,0.25,0.78,0.77,0,10.94,12.46,14.7,0.82,0.79,12.33,20.17,0.91,0.26,0.01,0.66,0.15,173,0.11,5.79,0.05,3.87,0.63,0.52,0.62,0.29,0.85,0.73,0.22,0.2,0.94,0.05,0.11,0.22,2.42,0.6
