Ciudad,Año,v6_sc_005,v2_p_001,v2_p_002,v8_ma_04
Cartagena,2005,25.31,NA,NA,NA
Cartagena,2006,29.69,NA,NA,NA
Cartagena,2007,23.34,NA,NA,NA
Cartagena,2008,18.53,NA,NA,NA
Cartagena,2009,26.03,NA,NA,NA
Cartagena,2010,24.99,NA,NA,NA
Cartagena,2011,23.65,0.33399999999999996,0.047,0.92
Cartagena,2012,28.95,0.327,0.059000000000000004,0.92
Cartagena,2013,28.1,0.292,0.057999999999999996,1
Cartagena,2014,30.6,0.266,0.043,1.08
Cartagena,2015,28.95,0.262,0.04,1.12
Cartagena,2016,25.46,0.29100000000000004,0.055,1.21
