Ciudad,Año,v4_e_005,v4_e_008,v9_m_007,v2_p_001,v13_gp_005
Medellín,2005,0.4255153107,NA,NA,NA,NA
Medellín,2006,0.3702644388,NA,NA,NA,NA
Medellín,2007,0.5321505297,NA,NA,NA,NA
Medellín,2008,0.5398205797,NA,NA,NA,NA
Medellín,2009,0.5728257427,NA,NA,NA,NA
Medellín,2010,0.5953952078,NA,NA,NA,NA
Medellín,2011,0.5948,NA,12.92,0.192,0.87
Medellín,2012,0.596,0.32,11.62,0.177,0.84
Medellín,2013,0.5877,0.3,12.66,0.161,0.88
Medellín,2014,0.574,0.26,11.88,0.147,0.89
Medellín,2015,0.57,0.32,11.24,0.14300000000000002,0.85
Medellín,2016,0.5670000000000001,0.32,11.06,0.141,0.8
