CIUDAD,AÑO,EP1,MA3_2
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Muy insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Muy satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo satisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Ni satisfecho ni insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
Barranquilla,2008,NA,Algo insatisfecho
