CIUDAD,AÑO,ED4,CO4
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,No
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,Si
Cali,2005,NA,No
Cali,2005,NA,Si
