CIUDAD,AÑO,CV4,MA3_6
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
Cartagena,2005,NA,NA
