CIUDAD,AÑO,ED4,CV4,SA6
Ibagué,2010,Algo satisfecho,Seguro,Si
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,Algo satisfecho,Poco seguro,Si
Ibagué,2010,Algo satisfecho,Seguro,No
Ibagué,2010,NA,Algo seguro,No
Ibagué,2010,Muy satisfecho,Nada seguro,Si
Ibagué,2010,Muy satisfecho,Seguro,Si
Ibagué,2010,Muy satisfecho,Algo seguro,Si
Ibagué,2010,Algo satisfecho,Algo seguro,No
Ibagué,2010,NA,Seguro,No
Ibagué,2010,Algo insatisfecho,Algo seguro,Si
Ibagué,2010,Muy satisfecho,Nada seguro,Si
Ibagué,2010,Algo satisfecho,Poco seguro,Si
Ibagué,2010,Muy satisfecho,Algo seguro,Si
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,Algo satisfecho,Nada seguro,No
Ibagué,2010,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2010,Muy satisfecho,Seguro,Si
Ibagué,2010,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2010,NA,Nada seguro,Si
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,Muy satisfecho,Algo seguro,Si
Ibagué,2010,NA,Poco seguro,Si
Ibagué,2010,NA,Muy seguro,Si
Ibagué,2010,NA,Nada seguro,No
Ibagué,2010,Muy insatisfecho,Muy seguro,Si
Ibagué,2010,Muy satisfecho,Poco seguro,Si
Ibagué,2010,NA,Nada seguro,Si
Ibagué,2010,Muy satisfecho,Nada seguro,Si
Ibagué,2010,NA,Nada seguro,Si
Ibagué,2010,Algo insatisfecho,Algo seguro,No
Ibagué,2010,NA,Algo seguro,No
Ibagué,2010,Algo satisfecho,Algo seguro,Si
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,NA,Poco seguro,Si
Ibagué,2010,NA,Poco seguro,No
Ibagué,2010,NA,Algo seguro,No
Ibagué,2010,Ni satisfecho ni insatisfecho,Algo seguro,No
Ibagué,2010,NA,Nada seguro,Si
Ibagué,2010,Ni satisfecho ni insatisfecho,Seguro,No
Ibagué,2010,NA,Algo seguro,No
Ibagué,2010,Muy satisfecho,Nada seguro,Si
Ibagué,2010,Muy satisfecho,Algo seguro,No
Ibagué,2010,NA,Poco seguro,No
Ibagué,2010,Ni satisfecho ni insatisfecho,Algo seguro,Si
Ibagué,2010,Algo satisfecho,Algo seguro,No
Ibagué,2010,Muy satisfecho,Poco seguro,Si
Ibagué,2010,NA,Algo seguro,No
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,NA,Poco seguro,No
Ibagué,2010,Algo satisfecho,Algo seguro,Si
Ibagué,2010,Muy satisfecho,Seguro,Si
Ibagué,2010,Ni satisfecho ni insatisfecho,Seguro,Si
Ibagué,2010,NA,Muy seguro,Si
Ibagué,2010,NA,Algo seguro,Si
Ibagué,2010,Ni satisfecho ni insatisfecho,Muy seguro,Si
Ibagué,2010,Muy satisfecho,Algo seguro,Si
Ibagué,2010,Algo satisfecho,Algo seguro,Si
Ibagué,2010,Algo satisfecho,Nada seguro,No
Ibagué,2010,NA,Algo seguro,Si
